id,name,type_1,type_2,ability_1,ability_2,hidden_ability,classification,hp,attack,defense,special_attack,special_defense,speed,color,height(m),weight(kg),shape,habitat,egg_group_1,egg_group_2,held_items,is_legendary,flavor_text
94,Gengar,ghost,poison,cursed-body,,,Shadow Pokémon,60,65,60,130,75,110,purple,1.5,40.5,upright,cave,indeterminate,,spell-tag,False,"Deep in the night, your shadow cast by a streetlight may suddenly overtake you. It is actually a GENGAR running past you, pretending to be your shadow. Even your home isn’t safe. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey. Under a full moon, this POKéMON likes to mimicthe shadows of people and laugh at their fright. Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up. It is said to emerge from darkness to steal the lives of those who become lost in mountains. To steal the life of its target, it slips into theprey's shadow and silently waits for an opportunity. Lurking in the shadowy corners of rooms, it awaits chances to steal its prey’s life force. Hiding in people's shadows at night, it absorbs theirheat. The chill it causes makes the victims shake. It hides in shadows. It is said that if GENGAR is hiding, it cools the area by nearly 10 degrees F. It lays traps, hoping to steal the lives of those it catches. If you stand in front of its mouth, you’ll hear your loved ones’ voices calling out to you. Hiding in people’s shadows at night, it absorbs their heat. The chill it causes makes the victims shake. It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared. On the night of a full moon, if shadows move on their own and laugh, it must be GENGAR’s doing. The leer that floats in darkness belongs to a Gengar delighting in casting curses on people. To steal the life of its target, it slips into the prey’s shadow and silently waits for an opportunity. Rumor has it that its gigantic mouth leads not into its body, filled with cursed energy, but instead directly to the afterlife. It steals heat from its surround  ings. If you feela sudden chill, it is certain that a GENGAR appeared. It hides in shadows. It is said that if Gengar is hiding, it cools the area by nearly 10 degrees Fahrenheit. You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty. Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you.It is actually a GENGAR running past you, pretending to be your shadow. A GENGAR is close by if you feel a sudden chill.It may be trying to lay a curse on you. It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans. It can pass through other dimensions and appear anywhere. It caused a stir one time when it stuck just one leg out of a wall. A Gengar is close by if you feel a sudden chill. It may be trying to lay a curse on you. The leer that floats in darkness belongs to a GENGAR delighting in casting curses on people. Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow. On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing."
95,Onix,rock,ground,rock-head,sturdy,weak-armor,Rock Snake Pokémon,35,45,160,30,45,70,gray,8.8,210.0,squiggle,cave,mineral,,hard-stone,False,"It usually lives underground. It searches for food while boring its way through the ground at 50 miles per hour. When it travels underground, it causes rumbling and tremors. It can move at 50 mph. As it grows, the stone portions of its body hardento become similar to a diamond, but colored black. Burrows at high speed in search of food. Thetunnels it leaves are used as homes by DIGLETTs. As it grows, the stone portions of its body harden to become similar to black-colored diamonds. Opening its large mouth, it ingests massive amounts of soil and creates long tunnels. Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother. Burrows at high speed in search of food. The tunnels it leaves are used as homes by Diglett. ONIX has a magnet in its brain. It acts as a compass so that this POKéMON does not lose direction while it is tunneling.As it grows older, its body becomes increasingly rounder and smoother. As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid. It twists and squirms through the ground. Thethunderous roar of its tunneling echoes a long way. As it digs through the ground, it absorbs many hardobjects. This is what makes its body so solid. It rapidly bores through the ground at 50 mph bysquirming and twisting its mas  sive, rugged body. It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body. It burrows through the ground at a speed of 50 mph while feeding on large boulders.  It twists and squirms through the ground. The thunderous roar of its tunneling echoes a long way. It squirms through the ground using its long and rugged body. It always eats while burrowing. It burrows through the ground at a speed of 50 mph while feeding on large boulders. There is a magnet in its brain that prevents an ONIX from losing direction while tunneling. As it grows older, its body becomes steadily rounder and smoother."
96,Drowzee,psychic,,insomnia,forewarn,inner-focus,Hypnosis Pokémon,60,48,45,43,90,42,yellow,1.0,32.4,humanoid,grassland,humanshape,,,False,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past. It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn’t particularly like eating them. If you think that you had a good dream but you can’t remember it, a DROWZEE has probably eaten it. Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams. If your nose becomes itchy while you are sleeping, it’s a sure sign that a DROWZEE is standing above your pillow and trying to eat your dream through your nostrils. It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day. A Pokémon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna. If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils. When it twitches its nose, it can tell where someoneis sleeping and what that person is dreaming about. It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams. If you think that you had a good dream, but youcan't remember it, a DROWZEE has probably eaten it. If you think that you had a good dream but you can’t remember it, a Drowzee has probably eaten it. A descendent of the legendary animal baku, which is said to eat dreams. It is skilled at hypnotism. It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it’s ever eaten. Puts enemies to sleep then eats their dreams.Occasionally gets sick from eating bad dreams. If you sleep by it all the time, it will sometimesshow you dreams it has eaten in the past. If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these POKéMON is standing aboveyour pillow and trying to eat your dream through your nostrils. It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier. It remembers every dream it eats. It rarely eats thedreams of adults because children's are much tastier."
97,Hypno,psychic,,insomnia,forewarn,inner-focus,Hypnosis Pokémon,85,73,70,73,115,67,yellow,1.6,75.6,humanoid,grassland,humanshape,,,False,"It carries a pendulum-like device. There once was an incident in which it took  away a child it hypnotized. Always holding a pendulum that it rocks at a steadyrhythm, it causes drowsiness in any  one nearby. When it locks eyes with an enemy, it will use a mix ofPSI moves such as HYPNOSIS and CONFUSION. Avoid eye contact if you come across one. It will tryto put you to sleep by using its pendulum. Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum. It carries a pendulum-like device. There once was an incident in which it took away a child it hypnotized. The longer it swings its pendulum, thelonger the effects of its hypnosis last. When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION. Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby. There are some Hypno that assist doctors with patients who can’t sleep at night in hospitals. When it is very hungry, it puts humans it meets to sleep, then it feasts on their dreams. In Alola, Komala is Hypno’s main target. It rarely harms people. When it is very hungry, it puts humans it meets tosleep, then it feasts on their dreams. As a matter of course, it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream, it carries off. The arcing movement and glitter of the pendulum in a HYPNO’s hand lull the foe into deep hypnosis. While searching for prey, it polishes the pendulum. Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up. Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum. While it is an extremely dangerous Pokémon, people who are in need of a good, sound sleep call it their savior. HYPNO holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep stateof hypnosis. While this POKéMON searches for prey, it polishes the pendulum."
98,Krabby,water,,hyper-cutter,shell-armor,sheer-force,River Crab Pokémon,30,105,90,25,25,50,red,0.4,6.5,armor,waters-edge,water3,,,False,"Its pincers are superb weapons. They sometimesbreak off during battle, but they grow back fast. Its pincers are not only powerful weapons, they are used for balance when walking sideways. The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walking sideways. KRABBY live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the wayof food, these POKéMON can be seen squabbling with each other over territory. Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory. If it senses dan  ger approaching, it cloaks itselfwith bubbles from its mouth so it will look bigger. The pincers break off easily. If it loses a pincer,it somehow becomes incapable of walk  ing sideways. Its pincers are not only powerful weapons, they areused for balance when walking sideways. KRABBY live in holes dug into beaches. On sandy shores with little in the way of food, they can be seen squabbling with each other over territory. It can be found near the sea. The large pincers grow back if they are torn out of their sockets. If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger. Its pincers are superb weapons. They sometimes break off during battle, but they grow back fast. If it is unable to find food, it will absorbnutrients by swallowing a mouthful of sand. It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle."
99,Kingler,water,,hyper-cutter,shell-armor,sheer-force,Pincer Pokémon,55,130,115,50,50,75,red,1.3,60.0,armor,waters-edge,water3,,,False,"Its oversized claw is very powerful, but when it's notin battle, the claw just gets in the way. The large pincer has 10000 hp of crushing power.However, its huge size makes it unwieldy to use. The bubbles it spews out are strongly alkaline. Any opponents hit by them will have their bodies quickly melted away. It can hardly lift its massive, overgrown pincer. The pincer’s size makes it difficult to aim properly. Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move. Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way. The large pincer has 10,000-horsepower crushing force. However, its huge size makes it unwieldy to use. KINGLER has an enormous, oversized claw. It waves this huge claw in the air to communicate with others.However, because the claw is so heavy, the POKéMON quickly tires. The flow of Gigantamax energy has spurred this Pokémon’s left pincer to grow to an enormous size. That claw can pulverize anything. One claw grew massively and is as hard as steel. It has 10,000-horsepower strength. However, it is too heavy. The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim. It can hardly lift its massive, overgrown pincer.The pincer's size makes it difficult to aim properly. Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers. It waves its huge, oversized claw in the air to communicate with others. But since the claw is so heavy, this POKéMON quickly tires. Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires. Its pincers grow peculiarly large. If it lifts thepincers too fast, it loses its bal  ance and staggers. Its large and hard pincer has 10,000- horsepower strength. However, being so big, it is unwieldy to move. One claw grew massively and as hard as steel.It has 10,000-HP strength. However, it is too heavy."
100,Voltorb,electric,,soundproof,static,aftermath,Ball Pokémon,40,30,50,55,55,100,red,0.5,10.4,ball,urban,mineral,,,False,"It rolls to move. If the ground is uneven, a suddenjolt from hitting a bump can cause it to explode. It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on touch. VOLTORB was first sighted at a company that manufactures POKé BALLS. The link between that sighting andthe fact that this POKéMON looks very similar to a POKé BALL remains a mystery. It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode. During the study of this POKéMON, it was discoveredthat its compo  nents are not found in nature. It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus. Usually found in power plants. Easily mistaken for a POKé BALL, it has zapped many people. It bears an uncanny and unexplained resemblance to a POKé BALL. Because it explodes at the slightest shock, even veteran TRAINERS treat it with caution. It was discovered when POKé BALLS were introduced.It is said that there is some connection. It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on contact. Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy. VOLTORB is extremely sensitive - it explodes at the slightest of shocks. It is rumored that it was first createdwhen a POKé BALL was exposed to a powerful pulse of energy. It is said to camouflage itself as a POKé BALL. Itwill self-destruct with very little stimulus. Usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people. Usually found in power plants. Easily mistakenfor a POKé BALL, they have zapped many people. It was discovered when Poké Balls were introduced. It is said that there is some connection. Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery. A life-form whose identity is unknown. It is said to SCREECH or suddenly SELFDESTRUCT."
101,Electrode,electric,,soundproof,static,aftermath,Ball Pokémon,60,50,70,80,80,150,red,1.2,66.6,ball,urban,mineral,,,False,"One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated. It stores electric energy under very high pressure.It often explodes with little or no provocation. Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion. It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding. It is known to drift on winds if it is bloated to bursting with stored electricity. It stores electric energy under very high pressure. It often explodes with little or no provocation. It stores an overflowing amount of electric energy inside its body. Even a small shock makes it explode. Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity. ELECTRODE eats electricity in the atmosphere. On days when lightning strikes, you can see this POKéMONexploding all over the place from eating too much electricity. It is dangerous. If it has too much electricity andhas nothing to do, it amuses itself by exploding. The more energy it charges up, the faster it gets.But this also makes it more likely to explode. One of ELECTRODE’s characteristics is its attraction to electricity. It is a problematical POKéMON thatcongregates mostly at electrical power plants to feed on electricity that has just been generated. It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.” It stores an over  flowing amount of electric energyinside its body. Even a small shock makes it explode. Stores electrical energy inside its body. Even theslightest shock could trigger a huge explosion. They appear in great numbers at electric power plants. Because they feed on electricity, they cause massive and chaotic blackouts in nearby cities."
102,Exeggcute,grass,psychic,chlorophyll,,harvest,Egg Pokémon,60,40,80,60,45,40,pink,0.4,2.5,heads,forest,plant,,psychic-seed,False,"The heads attract each other and spin around.There must be 6 heads for it to maintain balance. Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six. These Pokémon get nervous when they’re not in a group of six. The minute even one member of the group goes missing, Exeggcute become cowardly. Six of them together form a full-fledged Pokémon. It’s often hunted by Crabrawler, but uses psychokinesis to drive it off. Although they are the same size as other Exeggcute, the ones produced in Alola are quite heavy. Their shells are packed full. It is often mistaken for eggs. When disturbed, they quickly gather and attack in swarms. Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently. Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species. The heads attract each other and spin around. There must be six heads for it to maintain balance. Often mistaken for eggs. When disturbed,they quickly gather and attack in swarms. This POKéMON consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around.When cracks increasingly appear on the eggs, EXEGGCUTE is close to evolution. If even one is separated from the group, the energybond between the six will make them rejoin instantly. Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds. Even though it appears to be eggs of some sort, it was discovered to be a life- form more like plant seeds. This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution. Their shells are very durable. Even if they crack, they can survive without spilling their contents. Using telepathy only they can receive, theyalways form a cluster of six EXEGGCUTE. It consists of six eggs that care for each other. The eggs attract each other and spin around. When cracks increasingly appear, it is close to evolution. Using telepathy only they can employ, they always form a cluster of six EXEGGCUTE. The shell is very durable. Even if it cracks, it cansurvive without spilling the contents. Its six eggs converse using telepathy. They can quickly gather if they become separated."
103,Exeggutor,grass,psychic,chlorophyll,,harvest,Coconut Pokémon,95,95,85,125,75,55,yellow,2.0,120.0,legs,forest,plant,,,False,"Each of its three heads has its own thoughts. When they want to go in different directions, Exeggutor becomes unable to move. When they work together, Exeggutor’s three heads can put out powerful psychic energy. Cloudy days make this Pokémon sluggish. It is called “The Walking Jungle.” If a head grows too big, it falls off and becomes an EXEGGCUTE. The strong sunlight of the Alola region has awakened the power hidden within Exeggcute. This is the result. EXEGGUTOR originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight.It is said that when the heads fall off, they group together to form EXEGGCUTE. Living in a good environment makes it grow lots ofheads. A head that drops off becomes an EXEGGCUTE. Legend has it that on rare occasions, one of its headswill drop off and continue on as an EXEGGCUTE. Its three heads think independently. However, they are friendly and never appear to squabble. Blazing sunlight has brought out the true form and powers of this Pokémon. It is said that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE. When the time comes, one of its three heads falls off. Before long, the fallen head grows into an Exeggcute. If a head drops off, it emits a telepathic call insearch of others to form an EXEGGCUTE cluster. Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute. It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power. This Pokémon’s psychic powers aren’t as strong as they once were. The head on this Exeggutor’s tail scans surrounding areas with weak telepathy. It is called “The Walking Jungle.” If a head grows too big, it falls off and becomes an Exeggcute. Each of its heads has its own will. They use telepathy to discuss their plans before coming to a joint decision. It is called “The Walking Tropical Rainforest.” Each of the nuts has a face and a will of its own. If a head drops off, it emits a telepathic call in search of others to form an EXEGGCUTE cluster. Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another. Its three heads think independent  ly. However, theyare friendly and never appear to squabble. Originally from the tropics, EXEGGUTOR’s heads grow larger from exposure to strong sunlight. It is said that when the heads fall, they group to form an EXEGGCUTE. Its cries are very noisy. This is because each ofthe 3 heads thinks about whatever it likes. Its cries are very noisy. This is because each of the three heads thinks about whatever it likes."
104,Cubone,ground,,rock-head,lightning-rod,battle-armor,Lonely Pokémon,50,50,95,40,50,35,brown,0.4,6.5,upright,mountain,monster,,thick-club,False,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly. Because it never removes its skull helmet, no onehas ever seen this POKéMON's real face. Wears the skull of its deceased mother. Its criesecho inside the skull and come out as a sad melody. This Pokémon wears the skull of its deceased mother. Sometimes Cubone’s dreams make it cry, but each tear Cubone sheds makes it stronger. If it is sad or lonely, the skull it wears shakes,and emits a plain  tive and mournful sound. It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like. The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death. Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face. If it is sad or lonely, the skull it wears shakes and emits a plaintive and mournful sound. It wears its mother’s skull on its head, so no one knows what its bare face looks like. However, it’s clear that it’s always crying. CUBONE pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries.The stains on the skull the POKéMON wears are made by the tears it sheds. It pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull it wears are from its tears. When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air. It lost its mother after its birth. It wears itsmother's skull, never revealing its true face. It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly. Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds. Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody. At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz. When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head. It always wears the skull of its dead mother, so noone has any idea what its hidden face looks like."
105,Marowak,ground,,rock-head,lightning-rod,battle-armor,Bone Keeper Pokémon,60,80,110,50,80,45,brown,1.0,45.0,upright,mountain,monster,,thick-club,False,"Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken. It has been seen pounding boulders with the bone it carries in order to tap out messages to others. This Pokémon sets the bone it holds on fire and dances through the night as a way to mourn its fallen allies. The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets. A MAROWAK is the evolved form of a CUBONE that has grown tough by overcoming the grief of losing its mother. Its tempered and hardened spirit is not easily broken. The cursed flames that light up the bone carried by this Pokémon are said to cause both mental and physical pain that will never fade. The bone it holds is its key weapon. It throws thebone skillfully like a boomerang to KO targets. Small and weak, this Pokémon is adept with its bone club. It has grown more vicious over the ages. MAROWAK is the evolved form of a CUBONE that has overcome its sadness at the loss of its mother and grown tough.This POKéMON’s tempered and hardened spirit is not easily broken. Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons. This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon. It has transformed the spirit of its dear departed mother into flames, and tonight it will once again dance in mourning of others of its kind. It collects bones from an unknown place. Some whisper that a MAROWAK graveyard exists somewhere in the world. They thump their bones rhythmically to communicate among themselves. There are nearly 50 different rhythmic patterns. It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent. When this Pokémon evolved, the skull of its mother fused to it. Marowak’s temperament also turned vicious at the same time. It collects bones from an unknown place. A MAROWAKgraveyard exists somewhere in the world, rumors say. Somewhere in the world is a ceme  tery just forMAROWAK. It gets its bones from those graves. It is small and was originally very weak. Its temperament turned ferocious when it began using bones. From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons. Small and weak, this POKéMON is adept with itsbone club. It has grown more vicious over the ages. This Pokémon is out for vengeance on its natural enemy, Mandibuzz. It throws bones like boomerangs to try to take it down. It has been seen pounding boulders with the bone itcarries in order to tap out mes  sages to others."
106,Hitmonlee,fighting,,limber,reckless,unburden,Kicking Pokémon,50,120,53,35,110,87,brown,1.5,49.8,humanoid,urban,humanshape,,,False,"This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position. When in a hurry, its legs lengthen progressively. It runs smoothly with extra-long, loping strides. It is also called the Kick Master. It uses itselastic legs to execute every known kick. Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue. If it starts kick  ing repeatedly, both legs willstretch even long  er to strike a fleeing foe. Its legs can stretch double. First-time foes are startled by its extensible reach. When in a hurry, its legs lengthen progressively.It runs smoothly with extra long, loping strides. When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy. If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe. Its legs freely stretch and contract. Using these springlike limbs, it bowls over foes with devastating kicks. After battle, it rubs down its tired legs. This amazing POKé  MON has an awesome sense of balance.It can kick in succession from any position. HITMONLEE’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks.After battle, it rubs down its legs and loosens the muscles to overcome fatigue. When kicking, the sole of its foot turns as hard asa diamond on im  pact and destroys its enemy. The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick."
107,Hitmonchan,fighting,,keen-eye,iron-fist,inner-focus,Punching Pokémon,50,105,79,35,110,76,brown,1.4,50.2,humanoid,urban,humanshape,,,False,"To increase the strength of all its punch moves,it spins its arms just before making contact. Its punches slice the air. However, it seems to need a short break after fighting for three minutes. Punches in cork  screw fashion. It can punch its waythrough a concrete wall in the same way as a drill. A HITMONCHAN is said to possess the spirit of a boxer who aimed to become the world champion. Having an indomitable spirit means that it will never give up. Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn. Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity. HITMONCHAN is said to possess the spirit of a boxer who had been working towards a world championship.This POKéMON has an indomitable spirit and will never give up in the face of adversity. The spirit of a pro boxer has infused this POKéMON. It throws punches that are faster than a bullet train. The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting. The spirit of a pro boxer has infused this Pokémon. It throws punches that are faster than a bullet train. Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill. Its punches slice the air. However, it seems to need ashort break after fighting for three minutes. While apparently doing nothing, it fires punches in lightning-fast volleys that are impossible to see. Its punches slice the air. They are launched at suchhigh speed, even a slight graze could cause a burn. While apparently doing nothing, it fires punches inlightning fast volleys that are impossible to see."
108,Lickitung,normal,,own-tempo,oblivious,cloud-nine,Licking Pokémon,90,55,75,60,75,30,pink,1.2,65.5,upright,grassland,monster,,lagging-tail,False,"It has a tongue that is over 6’6’’ long. It uses thislong tongue to lick its body clean. Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies. Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful. If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either. Its tongue can be extended like a chameleon's. Itleaves a tingling sensation when it licks enemies. Whenever LICKITUNG comes across something new, it will unfailingly give it a lick. It does so because it memorizesthings by texture and by taste. It is somewhat put off by sour things. It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash! Its tongue spans almost 7 feet and moves more freelythan its forelegs. Its licks can cause paralysis. It licks filth clean with its tongue. Whatever it licks always stinks afterward, so whether it’s really clean is...questionable. Its tongue has well-developed nerves that run to the very tip, so it can be deftly manipulated. When it extends its over-six-foot- long tongue, its tail quivers. There is a possibility they are connected. Bug Pokémon are Lickitung’s main food source. This Pokémon paralyzes its prey with a lick from its long tongue, then swallows the prey whole. Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking. Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis. Whenever it sees something unfamiliar, it always licks the object because it memorizes things by texture and taste. It is somewhat put off by sour things. Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail. Its long tongue, slathered with a gooey saliva,sticks to any  thing, so it is very useful. Its tongue has well-developed nerves that runto the very tip, so it can be deft  ly manipulated. Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things. Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything."
109,Koffing,poison,,levitate,,,Poison Gas Pokémon,40,65,95,60,45,35,purple,0.6,1.0,ball,urban,indeterminate,,smoke-ball,False,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash. If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pokémon may also overinflate its round body, then explode. It adores polluted air. Some claim that Koffing used to be more plentiful in the Galar region than they are now. Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning. KOFFING embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction thatresults in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this POKéMON. If one gets close enough to it when it expels poison ous gas, the gas swirling inside it can be seen. The poisonous gases it contains are a little bitlighter than air, keeping it slight  ly airborne. Its thin, balloon-like body is inflated by horribly toxic gases. It reeks when it is nearby. Getting up close to a KOFFING will give you a chance to observe, through its thin skin, the toxic gases swirling inside. It blows up at the slightest stimulation. Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive. Its thin, filmy body is filled with gases that cause constant sniffles, coughs and teary eyes. Its thin, filmy body is filled with gases thatcause constant sniffles, coughs and teary eyes. The poisonous gases it contains are a little bit lighter than air, keeping it slightly airborne. In hot places, its internal gases could expand andexplode without any warning. Be very careful! If KOFFING becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body.This POKéMON may also overinflate its round body, then explode. Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions. In hot places, its internal gases could expand and explode without any warning. Be very careful! Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon. Because it stores several kinds of toxic gases inits body, it is prone to exploding without warning."
